Time,Value,Value Attributes
18-Dec-2023,22:29:11.875,0.00
18-Dec-2023,14:38:47.375,0.00
18-Dec-2023,06:48:25.09375,0.00
17-Dec-2023,22:57:56.84375,0.00
17-Dec-2023,15:07:31.9375,0.00
17-Dec-2023,07:17:06.84375,0.00
16-Dec-2023,23:26:48.9375,0.00
16-Dec-2023,15:36:21.34375,0.00
16-Dec-2023,07:45:57.21875,0.00
15-Dec-2023,23:55:29.90625,0.00
15-Dec-2023,16:05:06.0625,0.00
15-Dec-2023,08:14:46.875,0.00
15-Dec-2023,00:24:26.90625,0.00
14-Dec-2023,16:34:13.09375,0.00
14-Dec-2023,08:43:53.6875,0.00
14-Dec-2023,00:53:42.59375,0.00
13-Dec-2023,17:03:24.40625,0.00
13-Dec-2023,09:13:04.40625,0.00
13-Dec-2023,01:22:47.375,0.10
13-Dec-2023,01:21:26.3125,0.93
13-Dec-2023,01:19:44.28125,2.56
13-Dec-2023,01:18:53.28125,4.48
13-Dec-2023,01:18:23.28125,6.78
13-Dec-2023,01:18:04.28125,9.41
13-Dec-2023,01:17:51.28125,12.42
13-Dec-2023,01:17:41.28125,16.05
13-Dec-2023,01:17:34.28125,19.95
13-Dec-2023,01:17:29.28125,23.88
13-Dec-2023,01:17:25.28125,28.27
13-Dec-2023,01:17:22.28125,32.59
13-Dec-2023,01:17:19.28125,38.32
13-Dec-2023,01:17:17.28125,43.25
13-Dec-2023,01:17:15.28125,49.43
13-Dec-2023,01:17:14.28125,53.18
13-Dec-2023,01:17:13.28125,57.58
13-Dec-2023,01:17:12.28125,62.92
13-Dec-2023,01:17:11.28125,64.78
13-Dec-2023,01:17:10.28125,64.99
13-Dec-2023,01:17:09.28125,64.73
13-Dec-2023,01:17:07.28125,64.87
13-Dec-2023,01:17:05.28125,65.01
13-Dec-2023,01:17:04.28125,64.71
13-Dec-2023,01:17:02.28125,64.89
13-Dec-2023,01:17:00.28125,64.99
13-Dec-2023,01:16:56.28125,64.74
13-Dec-2023,01:16:55.28125,64.99
13-Dec-2023,01:16:51.28125,64.73
13-Dec-2023,01:16:50.28125,64.97
13-Dec-2023,01:16:48.28125,64.84
13-Dec-2023,01:16:46.28125,64.71
13-Dec-2023,01:16:45.28125,64.98
13-Dec-2023,01:16:41.25,64.73
13-Dec-2023,01:16:40.25,64.99
13-Dec-2023,01:16:38.25,64.84
13-Dec-2023,01:16:36.25,64.70
13-Dec-2023,01:16:35.25,64.98
13-Dec-2023,01:16:33.25,64.83
13-Dec-2023,01:16:31.25,64.71
13-Dec-2023,01:16:30.25,64.97
13-Dec-2023,01:16:28.25,64.82
13-Dec-2023,01:16:26.25,64.70
13-Dec-2023,01:16:25.25,64.93
13-Dec-2023,01:16:21.25,64.71
13-Dec-2023,01:16:20.25,64.94
13-Dec-2023,01:16:13.21875,64.80
13-Dec-2023,01:16:11.21875,64.69
13-Dec-2023,01:16:10.21875,64.97
13-Dec-2023,01:16:06.21875,64.71
13-Dec-2023,01:16:05.21875,64.96
13-Dec-2023,01:16:01.21875,64.71
13-Dec-2023,01:16:00.1875,64.96
13-Dec-2023,01:15:59.1875,64.71
13-Dec-2023,01:15:57.1875,64.86
13-Dec-2023,01:15:55.15625,64.96
13-Dec-2023,01:15:54.15625,64.70
13-Dec-2023,01:15:50.15625,64.95
13-Dec-2023,01:15:49.15625,64.68
13-Dec-2023,01:15:48.15625,64.93
13-Dec-2023,01:15:44.15625,64.73
13-Dec-2023,01:15:43.15625,64.98
13-Dec-2023,01:15:42.15625,64.74
13-Dec-2023,01:15:38.15625,64.95
13-Dec-2023,01:15:37.15625,64.71
